Link: http://vactruth.com/2013/06/22/shaken-baby-syndrome/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
7220,2800,3336,1084,,

Source,Followers,Date,Interactions,Post Type,Link
vactruth.com,0,Sat Jun 22 2013 09:14:06 GMT+0200 (CEST),500,Facebook,https://www.facebook.com/vaccinetruth/posts/10151518471612989
Vaccination Information Network (VINE),0,Sat Jun 22 2013 19:01:08 GMT+0200 (CEST),402,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10151968223748998
National Vaccine Information Center,0,Mon Jun 24 2013 01:01:55 GMT+0200 (CEST),394,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10151705615107931
National Vaccine Information Center,0,Sun Aug 18 2013 15:00:20 GMT+0200 (CEST),326,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10151811526132931
Vaccination Information Network (VINE),138995,Sun Jul 02 2017 19:50:02 GMT+0200 (CEST),326,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10156232191133998
The Progressive Radio Network,54495,Mon Jun 01 2015 17:34:08 GMT+0200 (CEST),98,Facebook,https://www.facebook.com/PRNfm/posts/10153395653590522
Modern Alternative Mama,0,Mon Jun 24 2013 16:47:56 GMT+0200 (CEST),83,Facebook,https://www.facebook.com/ModernAlternativeMama/posts/10151512820207913
Dr Wakefield's work must continue,0,Sat Jun 22 2013 11:49:34 GMT+0200 (CEST),72,Facebook,https://www.facebook.com/DrAndrewWakefield/posts/10151533699128165
Ogólnopolskie Stowarzyszenie Wiedzy o Szczepieniach STOP NOP,0,Sat Jun 22 2013 11:43:43 GMT+0200 (CEST),59,Facebook,https://www.facebook.com/stowarzyszeniestopnop/posts/636151576412274
Ditch The Wheat,0,Mon Jun 24 2013 17:22:05 GMT+0200 (CEST),16,Facebook,https://www.facebook.com/Carol.DitchTheWheat/posts/519945298075271
KNOW Vaccines,0,Sat Jun 22 2013 19:28:59 GMT+0200 (CEST),3,Facebook,https://www.facebook.com/149132611810485/posts/546507828739626
Arnica - Parents' Support Network  Promoting Natural Immunity,0,Sat Jun 22 2013 11:26:27 GMT+0200 (CEST),3,Facebook,https://www.facebook.com/groups/98258276788/permalink/10151715826521789
Arnica - Parents' Support Network  Promoting Natural Immunity,0,Sat Jun 22 2013 19:03:54 GMT+0200 (CEST),2,Facebook,https://www.facebook.com/groups/98258276788/permalink/10151716405326789
Arnica - Parents' Support Network  Promoting Natural Immunity,0,Sat Jun 22 2013 10:23:06 GMT+0200 (CEST),2,Facebook,https://www.facebook.com/groups/98258276788/permalink/10151715773116789
